"","ELI.E"
"1953-10-01",168.229508196721
"1953-11-01",165.393162393162
"1953-12-01",164.948275862069
"1954-01-01",164.565217391304
"1954-02-01",160.106280193237
"1954-03-01",158.234042553192
"1954-04-01",158.084656084656
"1954-05-01",163.165919282511
"1954-06-01",166.067510548523
"1954-07-01",168.622950819672
"1954-08-01",165.90350877193
"1954-09-01",163.543378995434
"1954-10-01",160.842105263158
"1954-11-01",161.731481481481
"1954-12-01",158.010152284264
"1955-01-01",154.89010989011
"1955-02-01",153.221556886228
"1955-03-01",147.684931506849
"1955-04-01",150.59872611465
"1955-05-01",162.174311926605
"1955-06-01",165.484978540773
"1955-07-01",166.928270042194
"1955-08-01",165.539130434783
"1955-09-01",164.862222222222
"1955-10-01",158.724489795918
"1955-11-01",155.446327683616
"1955-12-01",154.696132596685
"1956-01-01",152.573099415205
"1956-02-01",153.746987951807
"1956-03-01",151.047619047619
"1956-04-01",149.774834437086
"1956-05-01",153.727272727273
"1956-06-01",162.297674418605
"1956-07-01",167.772151898734
"1956-08-01",169.129707112971
"1956-09-01",166.025974025974
"1956-10-01",162.420091324201
"1956-11-01",161.314285714286
"1956-12-01",160.155339805825
"1957-01-01",157.775510204082
"1957-02-01",156.640883977901
"1957-03-01",160.698795180723
"1957-04-01",160.323699421965
"1957-05-01",173.598484848485
"1957-06-01",180.006944444444
"1957-07-01",183.381578947368
"1957-08-01",179.124555160142
"1957-09-01",176.037313432836
"1957-10-01",171.782945736434
"1957-11-01",169.577689243028
"1957-12-01",170.937984496124
"1958-01-01",173.177777777778
"1958-02-01",171.645569620253
"1958-03-01",171.276595744681
"1958-04-01",172.587719298246
"1958-05-01",177.071428571429
"1958-06-01",177.039145907473
"1958-07-01",173.328301886792
"1958-08-01",171.752895752896
"1958-09-01",169.526530612245
"1958-10-01",167.485232067511
"1958-11-01",166.632911392405
"1958-12-01",164.132743362832
"1959-01-01",165.534482758621
"1959-02-01",164.018518518519
"1959-03-01",162.924137931034
"1959-04-01",159.611428571429
"1959-05-01",159.502487562189
"1959-06-01",168.605042016807
"1959-07-01",169.004255319149
"1959-08-01",167.886956521739
"1959-09-01",165.598214285714
"1959-10-01",163.937219730942
"1959-11-01",159.49504950495
"1959-12-01",159.320197044335
"1960-01-01",156.529100529101
"1960-02-01",155.062857142857
"1960-03-01",153.963636363636
"1960-04-01",154.247058823529
"1960-05-01",160.468292682927
"1960-06-01",168.16393442623
"1960-07-01",169.705179282869
"1960-08-01",171.438735177866
"1960-09-01",168.827868852459
"1960-10-01",165.217391304348
"1960-11-01",163.192825112108
"1960-12-01",160.571428571429
"1961-01-01",159.366336633663
"1961-02-01",158.563535911602
"1961-03-01",152.192307692308
"1961-04-01",150.041666666667
"1961-05-01",157.722222222222
"1961-06-01",171.569230769231
"1961-07-01",171.047244094488
"1961-08-01",168.626016260163
"1961-09-01",165.402597402597
"1961-10-01",163.415525114155
"1961-11-01",161.796296296296
"1961-12-01",157.579487179487
"1962-01-01",154.5
"1962-02-01",155.035294117647
"1962-03-01",150.361290322581
"1962-04-01",151.180124223602
"1962-05-01",156.507936507937
"1962-06-01",164.044052863436
"1962-07-01",168.234817813765
"1962-08-01",168.057851239669
