"","H.sst.AEN","E.sst.AEN"
"1909-07-01",-0.028631267652493,0.0854809130951754
"1909-08-01",0.402209011700166,0.0899603919109488
"1909-09-01",-0.189043843346576,-0.283465723311375
"1909-10-01",-0.00310918385898998,-0.127043499199354
"1909-11-01",0.370332888611575,-0.037559590718453
"1909-12-01",-0.0310131754472975,-0.016955069674624
"1910-01-01",-0.0343406257157528,-0.00805503817910358
"1910-02-01",0.252608688015954,0.0740551695236538
"1910-03-01",-0.0414223306714576,-0.0977004453830564
"1910-04-01",-0.318648961127178,-0.135680673265148
"1910-05-01",0.185866659246288,0.284923826216742
"1910-06-01",0.405396106475617,0.493576608661876
"1910-07-01",0.462854496741164,0.0223046765036943
"1910-08-01",0.114899557277754,-0.297115761545836
"1910-09-01",0.146413203162209,-0.0591563964373126
"1910-10-01",-0.342039726270923,-0.550336878346185
"1910-11-01",-0.13565813753229,-0.377779695306427
"1910-12-01",0.103539489027179,-0.474061662897534
"1911-01-01",-0.615002409028047,-0.726566466695906
"1911-02-01",-0.271126550663576,-0.631224144912108
"1911-03-01",-0.889767563853037,-1.06691275443679
"1911-04-01",-1.04571298586999,-1.07647407435516
"1911-05-01",-0.837124366549105,-1.34314580587317
"1911-06-01",-0.773323221443792,-1.17958873090563
"1911-07-01",-0.817310551849703,-1.32996913123186
"1911-08-01",-1.03603849917817,-1.3642448907896
"1911-09-01",-0.766009198812056,-1.09389084639822
"1911-10-01",-0.802595501822886,-1.0282747811446
"1911-11-01",-0.490986271107282,-0.898385337633132
"1911-12-01",-0.098593241033789,-0.305698909826623
"1912-01-01",0.155505305722176,-0.0831398212074098
"1912-02-01",0.131471509301455,0.179792669539981
"1912-03-01",0.100291624325683,0.0419736185652796
"1912-04-01",0.0239930725441142,-0.0148800336968198
"1912-05-01",-0.130940563503078,-0.295247227857617
"1912-06-01",-0.122712684463958,-0.371626183354983
"1912-07-01",-0.52133551177093,-0.817869508952347
"1912-08-01",-0.535314075125229,-0.807162847345948
"1912-09-01",-0.677403590163161,-0.950010275277754
"1912-10-01",-0.171350485536494,-0.627210643745355
"1912-11-01",0.122231050651507,-0.237232976120162
"1912-12-01",0.111025500291051,0.106910766095782
"1913-01-01",0.252575493692722,0.195193063902184
"1913-02-01",0.164232916770865,0.0243140402571168
"1913-03-01",0.0492495023062964,-0.0556823599097656
"1913-04-01",-0.151163773715904,0.0479003369822771
"1913-05-01",0.249052244762329,0.412968887503064
"1913-06-01",0.82147215686279,0.306141248680948
"1913-07-01",0.176535282449978,-0.391395432665189
"1913-08-01",-0.12120767873864,-0.325383715414091
"1913-09-01",-0.290073338166439,-0.613101463591325
"1913-10-01",-0.629042100891617,-0.769599953593509
"1913-11-01",-0.311595389614442,-0.558701288823696
"1913-12-01",-0.155063355412011,-0.501750243274126
"1914-01-01",0.115468493156806,-0.12913411200857
"1914-02-01",0.0574649873529362,-0.160757663937846
"1914-03-01",-0.220549298523968,-0.248200851467132
"1914-04-01",-0.114911685616872,-0.232643578494682
"1914-05-01",-0.232907047352466,-0.510122966282269
"1914-06-01",-1.18239904171217,-1.33177551288504
"1914-07-01",-1.23968028760429,-1.66014063935798
"1914-08-01",-0.749773547640671,-1.12503444347152
"1914-09-01",-0.322853416121326,-0.663474851984845
"1914-10-01",-0.0355750779719374,0.0667774544978923
"1914-11-01",0.395121694373807,0.299958810467631
"1914-12-01",-0.0364658772978607,0.00074003367445709
"1915-01-01",-0.526851133530495,-0.487117791004291
"1915-02-01",-0.877004833846303,-0.121134557988096
"1915-03-01",0.308028641652025,0.187813225190867
"1915-04-01",0.417487879549668,-0.0152979462717222
"1915-05-01",-0.780595774973203,-0.619131590525213
"1915-06-01",-0.241084365994682,-0.568496034398737
"1915-07-01",-0.512831183904727,-0.226731379925445
"1915-08-01",-0.790494192562173,-0.849500269919436
"1915-09-01",-0.466200488847377,-0.426922346341791
