"","H.sst.AMM","E.sst.AMM"
"1990-04-01",-0.28997925020078,-0.0784794935235745
"1990-05-01",0.0706317248884482,0.154710183866809
"1990-06-01",-0.269707371723813,-0.218823963949443
"1990-07-01",0.0924152376343024,0.0394021444481183
"1990-08-01",0.462038672114828,0.530178204651556
"1990-09-01",0.512072817137378,0.650953763174694
"1990-10-01",0.52269218552433,0.60173604806861
"1990-11-01",0.252232588989738,0.195213383782298
"1990-12-01",0.0116466953097983,0.101167752413062
"1991-01-01",0.258286513350699,0.231416246954392
"1991-02-01",0.163459980302195,0.342219491550829
"1991-03-01",0.0146602747310566,0.159751002414956
"1991-04-01",-0.525516844171301,-0.275552225531567
"1991-05-01",-0.333241726929254,-0.104133793052097
"1991-06-01",-0.157244985733263,-0.178084747418788
"1991-07-01",-0.128792903303341,-0.00632581685250638
"1991-08-01",0.00507010735734503,0.133323728281811
"1991-09-01",0.110293245895937,0.169082897888525
"1991-10-01",0.44397703809081,0.367147222586399
"1991-11-01",0.344018320252542,0.213847987146837
"1991-12-01",0.0971804613774024,-0.0728812501969362
"1992-01-01",0.36147720872786,0.40892096601377
"1992-02-01",0.456261689945476,0.664752533378169
"1992-03-01",0.382347909491757,0.508715665286749
"1992-04-01",0.0620029636976297,0.300145026671989
"1992-05-01",0.272195382325007,0.338834698079077
"1992-06-01",0.337469138172914,0.378198321170157
"1992-07-01",0.40162781048398,0.435011570413483
"1992-08-01",0.232174590538548,0.363455308318874
"1992-09-01",0.534648188573704,0.530949144616391
"1992-10-01",0.685252781537845,0.597759655221793
"1992-11-01",0.63185100380868,0.60902814588888
"1992-12-01",0.42551565975389,0.466899591721882
"1993-01-01",0.419618194552068,0.428649294601244
"1993-02-01",-0.236640164650353,-0.102336444183947
"1993-03-01",-0.300134766332045,-0.151748871441373
"1993-04-01",-0.174014079086823,-0.0208593572948174
"1993-05-01",0.11687292485559,-0.00912410497358543
"1993-06-01",0.153554357552563,0.126741181779291
"1993-07-01",0.178861394762421,0.038819420117823
"1993-08-01",-0.138543640196746,0.0927997067561904
"1993-09-01",-0.413538002078376,-0.338507203781464
"1993-10-01",-0.506217627273484,-0.583991215983376
"1993-11-01",-0.759207765635467,-0.64527682409749
"1993-12-01",-0.576945112039545,-0.49040334154399
"1994-01-01",-0.587496976309815,-0.443215249943013
"1994-02-01",-0.661641397579211,-0.534588085264298
"1994-03-01",-0.660541022363799,-0.360361380771402
"1994-04-01",-0.333409818037315,-0.169406385224691
"1994-05-01",-0.571660166762677,-0.263552924318651
"1994-06-01",-0.165200630743019,-0.110026532380393
"1994-07-01",-0.243475974895122,-0.138481817094129
"1994-08-01",-0.0849136140506416,-0.0442112996757663
"1994-09-01",-0.250267083075872,-0.200775625469899
"1994-10-01",0.135743775969638,0.101343631726683
"1994-11-01",0.125694177919711,0.23468463122359
"1994-12-01",-0.0174731479018117,0.137115171844056
"1995-01-01",-0.0176025602993406,0.082192418803697
"1995-02-01",-0.437477940852387,-0.259713827202904
"1995-03-01",-0.435857717525556,-0.152853965698291
"1995-04-01",-0.269259340022126,-0.0196668429921841
"1995-05-01",0.309616313545073,0.447222154344598
"1995-06-01",0.389451601628241,0.327506753810926
"1995-07-01",0.871576544577698,0.785025984346703
"1995-08-01",0.91138186226422,1.13128533003711
"1995-09-01",0.626177246545727,0.690081634451826
"1995-10-01",0.678942186048488,0.646411995645933
"1995-11-01",0.944681832649548,0.951574383559763
"1995-12-01",0.823802488036087,0.774665113982463
"1996-01-01",0.702754575388286,0.815675307684696
"1996-02-01",0.137816096056463,0.223319374295894
"1996-03-01",-0.158482055283065,0.0944014711930873
"1996-04-01",-0.134236476350413,0.267800105799052
"1996-05-01",0.0738105954546986,0.176497695439546
"1996-06-01",0.065677767356101,0.129070258378369
"1996-07-01",-0.120125058855121,-0.124499886869312
"1996-08-01",-0.0389622562464735,-0.0295974872043191
"1996-09-01",0.334229699581186,0.217649543795125
"1996-10-01",0.16848718962572,0.141377296027242
"1996-11-01",0.123444304704244,0.105672687491425
"1996-12-01",0.138497699119573,0.360024152590516
"1997-01-01",0.92415994875827,0.858127433876727
